City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,utrik,11.2278,169.8474,27.04,79,59,5.29,MH,1710930612
1,hermanus,-34.4187,19.2345,27.67,49,27,5.7,ZA,1710930614
2,taulaga,-11.0553,-171.0883,29.39,75,53,4.88,AS,1710930615
3,gao,16.6362,1.637,32.85,6,0,6.03,ML,1710930617
4,puerto natales,-51.7236,-72.4875,-0.23,90,57,2.38,CL,1710930618
5,nantucket,41.2835,-70.0995,6.08,82,100,5.14,US,1710930620
6,udachny,66.4167,112.4,-23.91,88,27,1.37,RU,1710930621
7,avarua,-21.2078,-159.775,26.03,94,40,0.51,CK,1710930572
8,waitangi,-43.9535,-176.5597,12.68,81,93,1.34,NZ,1710930625
9,buxtehude,53.45,9.7,15.09,78,100,2.18,DE,1710930626
10,nagqu,31.5,92.0,2.74,13,100,4.41,CN,1710930628
11,tazovsky,67.4667,78.7,-26.27,93,94,6.39,RU,1710930630
12,rikaze,29.25,88.8833,7.27,19,100,1.34,CN,1710930632
13,singkil,-7.9855,111.4161,27.07,80,24,0.96,ID,1710930633
14,yellowknife,62.456,-114.3525,-30.71,69,0,3.09,CA,1710930582
15,port-aux-francais,-49.35,70.2167,8.27,92,100,17.96,TF,1710930636
16,jinghong,21.991,100.7341,28.57,48,62,1.32,CN,1710930638
17,qaqortoq,60.7167,-46.0333,-13.58,69,0,3.93,GL,1710930639
18,kailua-kona,19.6406,-155.9956,22.98,92,40,2.06,US,1710930641
19,xining,36.6167,101.7667,11.78,8,1,6.15,CN,1710930642
20,port elizabeth,-33.918,25.5701,26.16,65,20,4.63,ZA,1710930644
21,uturoa,-16.7333,-151.4333,28.38,73,73,3.23,PF,1710930645
22,invercargill,-46.4,168.35,10.57,91,1,0.45,NZ,1710930616
23,adamstown,-25.066,-130.1015,25.05,79,100,9.24,PN,1710930649
24,eydhafushi,5.1033,73.0708,28.82,72,8,5.52,MV,1710930650
25,ankpa,7.3706,7.6253,37.78,20,74,1.79,NG,1710930652
26,tolanaro,-25.0319,46.9987,28.08,74,27,1.78,MG,1710930653
27,ulsteinvik,62.3432,5.8487,7.4,77,100,5.36,NO,1710930655
28,muntok,-2.0667,105.1833,27.58,80,80,4.83,ID,1710930657
29,georgetown,5.4112,100.3354,33.97,55,20,4.63,MY,1710930542
30,polyarnyy,69.1989,33.4478,-2.78,86,100,3.68,RU,1710930660
31,arrifes,37.7667,-25.7,14.14,67,20,0.51,PT,1710930661
32,eirunepe,-6.6603,-69.8736,22.66,99,100,0.62,BR,1710930494
33,albany,42.6001,-73.9662,2.27,82,97,1.34,US,1710930635
34,kimbe,-5.5502,150.1429,25.38,92,100,1.58,PG,1710930666
35,olonkinbyen,70.9221,-8.7187,-0.55,97,100,16.47,SJ,1710930667
36,thandla,23.0,74.5667,35.25,10,4,4.14,IN,1710930669
37,edinburgh of the seven seas,-37.0676,-12.3116,18.79,94,88,10.36,SH,1710930670
38,happy valley-goose bay,53.3168,-60.3315,-2.83,80,75,3.09,CA,1710930672
39,kita,13.0349,-9.4895,37.28,17,10,2.36,ML,1710930674
40,geraldton,-28.7667,114.6,29.23,48,40,7.2,AU,1710930675
41,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,80,40,2.0,RU,1710930632
42,minas de marcona,-15.2119,-75.1103,18.21,88,67,3.35,PE,1710930678
43,tiksi,71.6872,128.8694,-21.1,100,99,1.99,RU,1710930680
44,longyearbyen,78.2186,15.6401,-22.09,64,75,1.54,SJ,1710930681
45,punta arenas,-53.15,-70.9167,1.06,80,40,3.6,CL,1710930483
46,luderitz,-26.6481,15.1594,29.3,46,100,6.01,NA,1710930684
47,handan,36.6006,114.4678,13.13,24,0,3.54,CN,1710930686
48,talnakh,69.4865,88.3972,-19.33,98,100,2.45,RU,1710930688
49,puerto ayora,-0.7393,-90.3518,25.86,100,20,0.89,EC,1710930677
50,rabaul,-4.1967,152.1721,27.78,75,97,1.1,PG,1710930691
51,bethel,41.3712,-73.414,4.19,79,100,2.0,US,1710930564
52,grytviken,-54.2811,-36.5092,0.94,82,53,3.91,GS,1710930694
53,enewetak,11.3474,162.3373,27.51,81,10,3.93,MH,1710930696
54,letterkenny,54.95,-7.7333,9.94,68,62,3.58,IE,1710930691
55,sturgeon bay,44.8342,-87.377,-3.8,58,100,12.86,US,1710930700
56,mugia,43.1041,-9.2179,14.39,84,75,7.63,ES,1710930702
57,anadyr,64.75,177.4833,-18.72,84,100,11.0,RU,1710930703
58,papatowai,-46.5619,169.4708,12.25,77,0,2.12,NZ,1710930705
59,kiruna,67.8557,20.2251,-4.49,63,0,1.54,SE,1710930407
60,zhezqazghan,47.7833,67.7667,0.32,93,100,8.0,KZ,1710930708
61,cabedelo,-6.9811,-34.8339,27.37,66,75,4.47,BR,1710930709
62,maluso,6.543,121.8753,29.05,81,64,2.88,PH,1710930711
63,ilulissat,69.2167,-51.1,-12.99,52,20,4.63,GL,1710930712
64,maceio,-9.6658,-35.7353,26.69,94,40,1.03,BR,1710930419
65,awjilah,29.1081,21.2869,28.83,14,0,5.93,LY,1710930717
66,bredasdorp,-34.5322,20.0403,26.67,55,32,8.65,ZA,1710930718
67,las tablas,7.7667,-80.2833,25.1,99,94,2.63,PA,1710930720
68,ribeira grande,38.5167,-28.7,16.54,72,75,4.47,PT,1710930721
69,codrington,-38.2667,141.9667,11.98,58,5,3.14,AU,1710930723
70,margaret river,-33.95,115.0667,17.34,70,0,5.7,AU,1710930672
71,atlanta,33.749,-84.388,7.07,55,0,3.6,US,1710930304
72,pisco,-13.7,-76.2167,21.12,88,75,0.51,PE,1710930728
73,birsk,55.4211,55.5428,-0.27,93,8,0.98,RU,1710930729
74,kelso,46.1468,-122.9084,9.38,87,100,0.45,US,1710930731
75,remire-montjoly,4.9167,-52.2667,26.02,89,75,0.0,GF,1710930732
76,kurumkan,54.3,110.3,0.63,88,72,0.89,RU,1710930735
77,lihue,21.9789,-159.3672,18.77,76,0,5.66,US,1710930736
78,khash,28.2211,61.2158,25.14,26,58,9.51,IR,1710930738
79,hawaiian paradise park,19.5933,-154.9731,18.73,95,100,3.09,US,1710930740
80,hassi messaoud,31.6804,6.0729,28.92,12,0,1.03,DZ,1710930722
81,saynshand,44.8824,110.1163,5.5,25,0,3.07,MN,1710930743
82,shingu,33.7333,135.9833,3.64,61,4,6.16,JP,1710930744
83,taikang,46.8333,124.4167,-1.39,40,46,5.61,CN,1710930746
84,blackmans bay,-43.0167,147.3167,10.29,67,17,2.98,AU,1710930747
85,lebu,-37.6167,-73.65,11.89,93,100,4.75,CL,1710930749
86,kodiak,57.79,-152.4072,2.73,75,100,1.54,US,1710930750
87,port augusta,-32.5,137.7667,19.55,42,0,8.51,AU,1710930752
88,mumford,5.2618,-0.759,30.25,70,44,5.29,GH,1710930753
89,zhob,31.3411,69.4481,24.29,14,99,1.12,PK,1710930755
90,thames,-37.1333,175.5333,10.5,77,2,0.83,NZ,1710930757
91,bilibino,68.0546,166.4372,-28.91,88,6,1.59,RU,1710930758
92,katsuura,35.1333,140.3,10.01,49,92,14.36,JP,1710930760
93,iqaluit,63.7506,-68.5145,-17.95,84,100,0.0,CA,1710930744
94,coahuayana de hidalgo,18.7,-103.6583,21.81,88,94,1.33,MX,1710930767
95,mont-dore,-22.2833,166.5833,26.11,99,82,4.1,NC,1710930768
96,vorgashor,67.5833,63.95,-20.79,93,8,0.92,RU,1710930770
97,eyl,7.9803,49.8164,30.73,56,6,6.7,SO,1710930771
98,saldanha,-33.0117,17.9442,34.03,54,82,4.09,ZA,1710930773
99,magadan,59.5667,150.8,-10.26,92,40,2.27,RU,1710930774
100,kapuskasing,49.4169,-82.4331,-12.0,79,100,6.17,CA,1710930776
101,hadibu,12.65,54.0333,28.68,68,19,4.16,YE,1710930777
102,villa gesell,-37.2639,-56.973,20.59,98,69,2.56,AR,1710930779
103,puerto santa,-8.9906,-78.6456,21.44,87,98,3.24,PE,1710930780
104,mount isa,-20.7333,139.5,26.87,54,100,6.69,AU,1710930628
105,afaahiti,-17.75,-149.2833,25.93,76,87,4.59,PF,1710930783
106,maragogi,-9.0122,-35.2225,28.36,64,35,2.74,BR,1710930551
107,kupang,-10.1667,123.5833,28.32,94,40,2.06,ID,1710930786
108,arris,35.2588,6.3471,20.29,24,13,2.71,DZ,1710930788
109,flying fish cove,-10.4217,105.6791,27.82,78,40,3.6,CX,1710930789
110,strezhevoy,60.7333,77.5889,-13.35,95,13,2.68,RU,1710930737
111,sandnessjoen,66.0217,12.6316,5.23,81,75,5.14,NO,1710930792
112,alice springs,-23.7,133.8833,24.75,48,100,8.23,AU,1710930794
113,susuman,62.7833,148.1667,-21.12,99,9,1.34,RU,1710930795
114,whitehorse,60.7161,-135.0538,-2.57,79,40,2.06,CA,1710930797
115,cekerek,40.0731,35.4947,9.52,38,100,1.37,TR,1710930798
116,ola,59.5833,151.2833,-11.81,95,47,1.91,RU,1710930801
117,ust-nera,64.5667,143.2,-16.74,99,100,1.94,RU,1710930742
118,ghadamis,30.1337,9.5007,27.9,13,0,0.81,LY,1710930804
119,fale old settlement,-9.3852,-171.2468,29.31,74,53,3.81,TK,1710930806
120,kingston,17.997,-76.7936,23.98,89,2,1.34,JM,1710930807
121,isafjordur,66.0755,-23.124,-0.98,74,75,2.06,IS,1710930809
122,okhotsk,59.3833,143.3,-11.79,93,21,2.23,RU,1710930810
123,stanley,54.868,-1.6985,8.77,94,75,3.09,GB,1710930811
124,thompson,55.7435,-97.8558,-30.91,69,0,1.54,CA,1710930707
125,college,64.8569,-147.8028,-2.17,74,20,4.12,US,1710930621
126,sake,-1.5736,29.045,27.19,55,45,1.79,CD,1710930817
127,ta`u,-14.2336,-169.5144,28.69,70,100,2.63,AS,1710930819
128,saint-joseph,-21.3667,55.6167,30.21,77,47,3.19,RE,1710930821
129,bakchar,57.0186,82.0711,-3.4,89,100,3.31,RU,1710930822
130,naze,28.3667,129.4833,12.51,56,7,8.44,JP,1710930824
131,lukoyanov,55.0277,44.4786,0.38,99,100,0.9,RU,1710930825
132,callao,-12.0667,-77.15,23.73,88,100,3.6,PE,1710930826
133,inirida,3.8653,-67.9239,24.3,96,99,0.3,CO,1710930828
134,tura,25.5198,90.2201,15.98,91,100,2.76,IN,1710930829
135,badger,64.8,-147.5333,-3.05,72,20,4.12,US,1710930831
136,port mathurin,-19.6833,63.4167,26.35,79,88,8.36,MU,1710930832
137,gamba,-2.65,10.0,30.54,69,57,3.19,GA,1710930835
138,constantia,44.1833,28.65,7.61,54,13,9.67,RO,1710930836
139,ponta delgada,37.7333,-25.6667,15.4,67,20,0.51,PT,1710930839
140,mount pearl,47.5166,-52.7813,0.04,88,75,10.8,CA,1710930716
141,buala,-8.145,159.5921,26.58,88,99,2.28,SB,1710930842
142,nikolayevsk-on-amure,53.1406,140.73,-10.63,98,99,1.13,RU,1710930844
143,harstad,68.799,16.5293,3.42,85,100,10.73,NO,1710930845
144,lagdo,9.05,13.7333,37.22,7,100,1.96,CM,1710930847
145,lazaro cardenas,17.9583,-102.2,21.16,60,85,1.57,MX,1710930850
146,mil'kovo,55.6078,37.7956,5.27,94,100,1.98,RU,1710930852
147,majene,-3.5403,118.9707,27.73,81,94,3.48,ID,1710930855
148,aldan,58.6031,125.3894,-6.89,85,97,4.91,RU,1710930856
149,port alfred,-33.5906,26.891,26.21,83,97,1.34,ZA,1710930858
150,yuscaran,13.9333,-86.85,21.58,84,79,1.61,HN,1710930862
151,kununurra,-15.7667,128.7333,32.99,55,100,2.57,AU,1710930864
